property,propertyLabel,aliases,description
P190,twinned administrative body,"twin town, partner city, partner town, sister city, sister town, twin cities, twin city","twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments"
P194,legislative body,"District, parliament, Zila, local government area, assembly, district council, diet, city council, LGA, council, Tehsil, Jila, municipal council, rural council, aboriginal council, indigenous council, representative body","legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council"
P20,place of death,"POD, died, deathplace, location of death, death location, death place, died in, killed in","most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character"
P205,basin country,basin countries,country that have drainage to/from or border the body of water
P206,located in or next to body of water,"on shore of, on the coast of, on the shore of, water next to the subject, lake, bay, body of water, sea, adjacent water body, along river, borders body of water, in body of water, loc (water), located in water, located next to body of water, located on body of water, located on water, next to lake, ocean, on bay, on coast of, on harbour, on lake, on river",body of water on or next to which a place is located
P22,father,"child of, dad, daddy, daughter of, has father, is child of, is daughter of, is son of, parent, son of",male parent of the subject.
P241,military branch,"formation, branch, service branch, unit branch","branch to which this military unit, award, office, or person belongs, e.g. Royal Navy"
P25,mother,"mom, mommy, mum, mummy, child of, daughter of, is child of, is daughter of, is son of, parent, son of, mam, has mother",female parent of the subject.
P26,spouse,"husband, husbands, marital partner, marriage partner, married, marry, spouses, wed, wedded to, wife, wives, partner, married partner, married to, common-law spouse, common-law wife, common-law husband","the subject has the object as their spouse (husband, wife, partner, etc.)."
P27,country of citizenship,"(legal) nationality, citizen of, nation of citizenship, national of, subject of (country), nation, country, nationality, citizenship",the object is a country that recognizes the subject as its citizen
P30,continent,,continent of which the subject is a part
P31,instance of,"has type, is of type, item of type, example of, is an, unique individual of, unitary element of class, type, is a","type to which this subject corresponds/belongs. Different from (P279 subclass of); for example: K2 is an instance of mountain; volcanoes form a subclass of mountains, and the volcano is a type (instance) of volcanic landform"
P35,head of state,"state headed by, chief of state, leader, president, emperor, queen, monarch, king, governor",official with the highest formal authority in a country/state
P36,capital,"seat, chef-lieu, seat of government, administrative seat, county town, county seat, administrative capital, administrative center, administrative centre, administrative headquarters, capital city, capital town, court residence, government capital, government seat, has capital, location of capital, principal place","seat of government of a country, province, state or other type of administrative territorial entity"
P37,official language,"speaking, language official, language spoken, spoken in",language designated as official by this item
P39,position held,"function, held position, holds position, job, office held, political office held, political seat, position occupied, public office",subject currently or formerly holds the object position or public office
P40,child,"son, descendants, has child, has children, has daughter, has daughters, has kid, has kids, has son, has sons, kid, kids, parent of, progeny, issue, children, daughter, daughters, offspring, sons, father of, mother of",subject has object as child.
P50,author,"maker, writer, poet, playwright, creator, written by, co-author","main creator(s) of a written work (use on works, not humans);"
P54,member of sports team,"club played for, member of team, of team, part of team, played for, plays for, team played for, teams played for, sport team, team, player of",sports teams or clubs that the subject represents or represented
P57,director,"directed by, game director, film director, movie director","director(s) of film, TV-series, stageplay, video game or similar"
P58,screenwriter,"scriptwriter, video game writer, game writer, written by, scenarist, film script by, screenplay by, story by, teleplay by, writer (of screenplays), writing credits",person(s) who wrote the script for subject item
P6,head of government,"executive power headed by, government headed by, head of national government, president, chancellor, mayor, governor, prime minister, premier, first minister","head of the executive power of this town, city, municipality, state, country, or other governmental body"
P69,educated at,"went to school at, faculty, education, student of, alma mater, attended, student at, University attended, alumna of, alumni of, alumnus of, attended school at, college attended, education place, graduate of, graduated from, place of education, school attended, schooled at, schooling place, studied at",educational institution attended by subject
P86,composer,"composed by, film score by, music by, musical score by, songwriter, written by","person(s) who wrote the music [for lyricist, use (P676 lyricist)]"
P1001,applies to jurisdiction,"applies to place, of, jurisdiction, applicable area, applicable country, applicable geographic place, applicable jurisdiction, applicable location, applicable place, applicable territorial jurisdiction, applied to jurisdiction, applies to area, applies to geographic area, applies to geographic place, applies to region, applies to territorial jurisdiction, belongs to jurisdiction, country of jurisdiction, of jurisdiction, valid in jurisdiction, jurisdiction linked, Of country, of location, of place, of region","the item (institution, law, public office, public register, etc) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, etc)"
P1056,product or material produced,"output, product, commodity, manufactures, produces, producer of, service provided, provides service, product or service provided, product, material, or service produced or provided, creates, has product, maker of, makes, manufacturer of, material produced, produced material, produced product, products, results in, they make, work produced","material or product produced by an organization, industry, facility, or process"
P1198,unemployment rate,,portion of a workforce population that is not employed
P1336,territory claimed by,"claimed by, sovereignty claimed by, territorial claim by",administrative divisions that claim control of a given area
P1344,participant in,"attended, competed in, competes in, participant of, participant of event, participated in, present at, takes part, took part, took part in",event in which a person or organization was/is a participant; inverse of (P710 participant)
P1365,replaces,"continues, continues from, deprecates, forefather, preceded by, previous job holder, replaced, succeeds, supersedes, absorbed, absorbs","person, state or item replaced. Use (P155 follows) if the previous item was not replaced or predecessor and successor are identical"
P1366,replaced by,"continued by, heir, mediatised to, next job holder, succeeded by, successor, superseded by, becomes","other person or item which continues the item by replacing it in its role. Use (P156 followed by) if the item is not replaced nor identical, but adds to the series (e.g. books in a series)."
P1376,capital of,"state capital, capital, national capital, administrative seat of, county seat for, county seat of, is capital of, parish seat of, seat of, national capital of, provincial capital of, state capital of","country, state, department, canton or other administrative division of which the municipality is the governmental seat"
P1412,"languages spoken, written or signed","used language, language used, uses language, language spoken, language written, language of expression, language read, language signed, language(s) spoken, written or signed, languages of expression, languages signed, languages spoken, languages spoken, written, or signed, signed language, signs language, speaks language, spoke language, writes language, wrote language, language","language(s) that a person or a people speaks, writes or signs, including the native language(s)"
P1441,present in work,"character in, from narrative, appeared in, appears in, appears in work, featured in work, from work, in narrative, in work, is shown in","this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration [use (P361 part of) for works being part of other works]"
P264,record label,"label, labels",brand and trademark associated with the marketing of subject music recordings and music videos
P272,production company,"film studio, theatre company, ballet company, theatrical troupe, theater company, studio, motion picture studio, movie studio, broadcasting company, produced by (company), producer (company), production house","company that produced this film, audio or performing arts work"
P276,location,"place held, whereabouts, held by, vilage, town, city, neighborhood, locality, region, venue, place, based in, in, from, suburb, neighbourhood, locale, is in, located, located in, location of item, moveable object location","location of the object, structure or event. In the case of an administrative entity as containing item use (P131 located in the administrative territorial entity). In the case of a geographic entity use (P706 located in/on physical feature)."
P279,subclass of,"all members of this class also belong to, category of, form of, has superclass, is a class of, is a type of, is necessarily also a, is thereby also a, rdfs:subClassOf, subcategory of, subtype of, type of, way of, whose instances are a subset of those of, whose instances are among, kind of, sort of, sc (abbreviation), variant of, subgenre of","this item is a subclass (subset) of that item; ALL instances of this item are instances of that item; different from (P31 instance of), e.g.: volcano is a subclass of mountain (and an instance of volcanic landform); Everest is an instance of mountain"
P3373,sibling,"sister, brother of, sister of, has brother, has sibling, has sister, is brother of, is sibling of, is sister of, is the brother of, is the sibling of, is the sister of, sibling of, sis, sister or brother, sisters and brothers, twin, brothers, siblings, sisters, brother or sister, brothers and sisters, brother, sib, half-brother, half-sibling, half-sister, bro","the subject and the object have at least one common parent (brother, sister, etc. including half-siblings)"
P355,has subsidiary,"subordinate unit, subsidiary, subsidiary body, subsidiary company, subsidiary entities, subsidiary organization, imprint, daughter company, daughter organization, has imprint, owns, parent company of, subordinate body",subsidiary of a company or organization; generally a fully owned separate corporation. Opposite of (P749 parent organization).
P361,part of,"in, chain, of, assembly of, branch of, collateral branch of, component of, element of, is part of, meronym of, part of-property, section of, subassembly of, subgroup of, subsystem of, system of, contained in, contained within, within","object of which the subject is a part [if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of (P527 has part(s))]"
P364,original language of film or TV show,"original language, created on language, language of the original work, media language",language in which a film or a performance work was originally created.
P400,platform,"platforms, environment, game platform, hardware, computing platform, runtime, published on","platform for which a work was developed or released, or the specific platform version of a software product"
P403,mouth of the watercourse,"flows into, watercourse drain, watercourse ends in, watercourse outflow, tributary of, outflow, drain, outlet, river mouth",the body of water to which the watercourse drains
P449,original broadcaster,"television channel, radio station, TV channel, channel, radio network, network, aired on, airs on, broadcast on, first air channel, original air channel, original channel, original network",network(s) or service(s) that originally broadcast a radio or television program
P463,member of,"band member of, in musical group, member of musical group, membership, of organization","organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament - use (P39 position held) for that"
P488,chairperson,"chair, leader, president, chairman, chairwoman, dean, headed by","presiding member of an organization, group or body"
P495,country of origin,"comes from, originates from, country, place of origin, CoO, origin country","country of origin of this item (creative work, food, phrase, product, etc.)"
P527,has part(s),"has branch, has component, has ingredients, has part or parts, has parts, have part, holonym of, includes, includes part, incorporates, parts, set of, comprised of, has part, has member, contains, has ingredient, contain, formed from, formed out of, ingredients, amalgamation of, assembled from, assembled out of, composed of, consists of, created from, created out of, divided by, had part, has as part, made up of",part of this subject; inverse property of (P361 part of).
P551,residence,"lives in, address, has resided in, home town, hometown, lived in, place of residence, resided at, resided in, resident in, resident of, home city, living in, residing in","the place where the person is or has been, resident"
P569,date of birth,"born, DOB, birth date, birth year, birthdate, birthyear, born on, year of birth",date on which the subject was born
P570,date of death,"DOD, died, dead, death, death date, died on, year of death, date of the end, deathdate",date on which the subject died
P571,inception,"broke ground, built, commenced on date, commencement date, composed, constructed, construction date, created in, created in year, created on, created on date, creation date, creation year, date commenced, date constructed, date created, date first created, date formed, date founded, date of commencement, date of creation, date of foundation, date of foundation or creation, date of inception, date of origin, day of inception, dedication date, established on date, first created on, formation date, formed at, formed in year, formed on, formed on date, foundation / creation date, foundation date, founded, founded on, founded on date, inception date, initiated, instantiation date, made in year, made on, time of foundation or creation, time of inception, written on date, year commenced, year created, year established, year founded, year of creation, year of inception, year written, foundation, formation, introduction, formed in, founded in, established, date of establishment, date of founding, establishment date, founding date, introduced, start date, created, first issue, completed, launch date, starting date, installated in, installated on, installation date, initial release date",time when an entity begins to exist.
P576,"dissolved, abolished or demolished date","dissolved, end date, defunct, ended, ceased date, date of demolition, date of dissolution, closed on, closure date, folded, abolished, abolishment date, ceased on, ceased publication, ceased to exist, cessation date, date disbanded, date disestablished, date dissolved, date of cessation, date of termination, defunct date, demise date, demolished, demolition date, destroyed in, disbanded, disbanded on, disestablished, dissolution date, dissolved on date, dissolved or abolished, dissolved, abolished, or demolished, final issue, final year, last issue, publication end date, publication terminal date, razed in, terminal date, terminal issue, terminated on, termination date, time abolished, time dissolved, time of abolishment, time of dissolution, wound up on date, date repealed, repealed date","point in time at which the subject (organisation, building) ceased to exist."
P577,publication date,"was published in, year of publication, initial release, released in, date released, released, release date, launch date, launched, date of publication, air date, airdate, be published during, be published in, broadcast date, date of first publication, date of release, date published, first publication, first published, first released, pubdate, publication time, time of publication, was published during, publication, dop, published, issued, drop date",date or point in time when a work was first published or released
P580,start time,"introduction, from, effective, validity, began, beginning, building date, from date, from time, introduced, join date, join time, joined, since, start date, started in, starting, starttime, valid, effectivity",time an entity begins to exist or a statement starts being valid
P582,end time,"cease date, cease operation, cease time, closed, completed in, dissolved, divorced, end date, enddate, ends, endtime, fall date, left office, stop time, till, until, discontinued, ineffective, abolished, to, invalid, ending, invalidity, ineffectivity",moment when an entity ceases to exist and a statement stops being entirely valid or no longer be true
P585,point in time,"year, date, time, on, when, during, as of, at time, by date, occurred on, time of event, point time","date something took place, existed or a statement was true"
P607,conflict,"in action, in conflict, participant in conflict, participated in conflict, theater (military), theatre (military), battle, war, military conflict, military engagement, engagement","battles, wars or other military engagements in which the person or item participated"
P674,characters,appears in this work,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)"
P676,lyricist,"lyrics by, text author, text by, text poet, text writer, words by, writer (of song lyrics), author, songwriter",author of song lyrics
P706,located in/on physical feature,"loc (terr), located on island, located on landform, located on physical feature, located on terrain feature, located on the terrain feature, location (terrain feature), on geographical feature, on natural feature, situated on the island of, landform, geographical region, is on, takes place in, on, terrain feature, is in",located on the specified (geo)physical feature. Should not be used when the value is only political/administrative (P131 located in the administrative territorial entity).
P710,participant,"attendee, belligerents, between, competitor, event participant, has participant, participants, player, suspect, agent, accused, party","person, group of people or organization (object) that actively takes/took part in an event or process (subject)."
P737,influenced by,"role model, inspired by, favorite player, has influence, informed by","the subject (person, idea, etc.) was influenced or inspired by this object entity, e.g. ""Heidegger was influenced by Aristotle"""
P740,location of formation,"comes from, formation location, formed in, founded in, from, originates from, place of establishment, place of formation, place of foundation, place of incorporation, source location of group/organisation, place of origin, formation place, land of formation",location where a group or organization was formed
P749,parent organization,"holding company, holding, chapter of, has organizational parent, parent company, owned by (company or organisation), owned by (company or organization), parent agency, parent organisation, parent unit, part of, subsidiary of, superior formation, parent institution","parent organization of an organization, opposite of subsidiaries (P355 has subsidiary)"
P800,notable work,"work, artwork, bibliography, founder of, creator of, works, significance, founded, author of, books by, famous books, famous for, famous works, known for, literary works, major works, notable books, representative of artwork type, representative work, significant works, they created, they designed, they discovered, they invented, they wrote, writer of, wrote, main work","notable scientific, artistic or literary work, or other work of significance among subject's works"
P807,separated from,"branched from, broke from, forked from, schism from, seceded from, spin off, split from, spun off, broke off from",subject was founded or started by separating from identified object
P840,narrative location,"set in, setting, narrative set in, playing in, set in location, setting location, takes place in, location of narrative, place of setting, place set in, setting of work, setting place, work set in",the narrative of the work is set in this location
P937,work location,"conducts business at, conducts business in, place of activity, place of employment, work area, work residence, did work at, did work from, does work at, does work from, worked from, working from, works from, stationed at, work site, worksite, location of work, place of work, work place, workplace, worked at, working at, works at, location, active in","location where persons or organisations were actively participating in employment, business or other work"
