property,propertyLabel,aliases,dataTypeLabel,constraints,domains,ranges,exampleEntities,relatedProperties,externalIdentifiers,hierarchy,description
http://www.wikidata.org/entity/P150,contains the administrative territorial entity,"divided into, contains, contains administrative territorial entity, has shires, has states, has towns, has villages, has wards, includes the administrative territorial entity, subdivided into, divides into, has administrative divisions, has arrondissements, has boroughs, has cities, has counties, has countries, has districts, has local government areas, has members, has municipalities, has regions, has rural cities",http://wikiba.se/ontology#WikibaseItem,"subject type constraint, property scope constraint, allowed-entity-types constraint, value-type constraint, allowed qualifiers constraint, contemporary constraint, item-requires-statement constraint",,,,,,has part(s),(list of) direct subdivisions of an administrative territorial entity
http://www.wikidata.org/entity/P155,follows,"split from, predecessor, preceded by, succeeds, before was, comes after, is after, prequel is, prev, previous element, previous is, sequel of, succeeds to, successor to",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, conflicts-with constraint, property scope constraint, inverse constraint, none-of constraint",,,,,,,"immediately prior item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]"
http://www.wikidata.org/entity/P156,followed by,"prequel of, sequel is, then, succeeded by, successor, comes before, continued as, next, next element, next is, precedes",http://wikiba.se/ontology#WikibaseItem,"property scope constraint, conflicts-with constraint, none-of constraint, inverse constraint, allowed-entity-types constraint",,,,,,,"immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]"
http://www.wikidata.org/entity/P159,headquarters location,"seat, HQ, based in, headquarters, garrison, admin HQ, head office location, head quarters, HQ location, location of headquarters, principal office, headquarters city, headquarters locality, headquarters town",http://wikiba.se/ontology#WikibaseItem,"property scope constraint, subject type constraint, contemporary constraint, value-type constraint, allowed-entity-types constraint, allowed qualifiers constraint",,,,,,significant place,city or town where an organization's headquarters is or has been situated. Use P276 qualifier for specific building
http://www.wikidata.org/entity/P161,cast member,"actor, actress, feat., contestant of a play, film starring, starring, starring (film/play)",http://wikiba.se/ontology#WikibaseItem,"property scope constraint, allowed qualifiers constraint, conflicts-with constraint, subject type constraint, value-type constraint, allowed-entity-types constraint, value-requires-statement constraint",,,,,,"performer, significant person","actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role] - [use ""recorded participant"" (P11108) for non-fiction productions]"
http://www.wikidata.org/entity/P162,producer,"musical producer, film producer, record producer, music producer, produced by, creative producer",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, allowed-entity-types constraint, subject type constraint, value-type constraint, property scope constraint",,,,,,,"person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]"
http://www.wikidata.org/entity/P166,award received,"award won, awarded, awards received, honorary title, honors, honours, medals, prize awarded, prize received, recognition title, win, winner of, award, awards, received award",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, item-requires-statement constraint, allowed-entity-types constraint, allowed qualifiers constraint, property scope constraint, value-type constraint, citation-needed constraint, conflicts-with constraint",,,,,,,"award or recognition received by a person, organization or creative work"
http://www.wikidata.org/entity/P17,country,"state, land, host country, sovereign state",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, conflicts-with constraint, property scope constraint, value-type constraint, value-requires-statement constraint, allowed qualifiers constraint, allowed-entity-types constraint",,,,,,located in the administrative territorial entity,sovereign state that this item is in (not to be used for human beings)
http://www.wikidata.org/entity/P170,creator,"painter, sculptor, visual artist, painted by, realised by, realized by, sculpted by, original author, created by, by, drawer, made by, artwork by, art by, art work by, artist (non-musical), drawn by",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, none-of constraint, allowed qualifiers constraint, property scope constraint, allowed-entity-types constraint, subject type constraint, value-type constraint",,,,,,,maker of this creative work or other object (where no more specific property exists)
http://www.wikidata.org/entity/P171,parent taxon,"higher taxon, taxon parent",http://wikiba.se/ontology#WikibaseItem,"item-requires-statement constraint, subject type constraint, allowed-entity-types constraint, property scope constraint",,,,,,subclass of,closest parent taxon of the taxon in question
http://www.wikidata.org/entity/P172,ethnic group,"people, race, ethnicity, culture, (cultural) nationality, ethnic or cultural origin, tribal affiliation",http://wikiba.se/ontology#WikibaseItem,"citation-needed constraint, item-requires-statement constraint, conflicts-with constraint, allowed-entity-types constraint, value-type constraint, property scope constraint, subject type constraint",,,,,,,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)"
http://www.wikidata.org/entity/P175,performer,"singer, actor, actress, artist, musician, dancer, musical artist, performed by, played by, portrayed by, recorded by, recording by, sung by",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, property scope constraint, none-of constraint, allowed-entity-types constraint, allowed qualifiers constraint, subject type constraint, value-type constraint",,,,,,contributor to the creative work or subject,"actor, musician, band or other performer associated with this role or musical work"
http://www.wikidata.org/entity/P176,manufacturer,"maker, built by, mfr, assembled by, manufactured by, product of, brewer, producer, builder, assembler, made by, produced by, provided by, provider, brewed by",http://wikiba.se/ontology#WikibaseItem,"value-type constraint, conflicts-with constraint, contemporary constraint, subject type constraint, allowed-entity-types constraint, property scope constraint",,,,,,,(main or final) manufacturer or producer of this product
http://www.wikidata.org/entity/P178,developer,"video game developer, created by, dev, developed by, game dev, game developer, video game dev, written by",http://wikiba.se/ontology#WikibaseItem,"contemporary constraint, property scope constraint, subject type constraint, allowed-entity-types constraint, value-type constraint",,,,,,creator,organization or person that developed the item
http://www.wikidata.org/entity/P179,part of the series,"video game series, collection, series, subseries, in series, episode of, issue of, listed in, part of series",http://wikiba.se/ontology#WikibaseItem,"allowed qualifiers constraint, conflicts-with constraint, none-of constraint, subject type constraint, allowed-entity-types constraint, property scope constraint, value-type constraint",,,,,,part of,series which contains the subject
http://www.wikidata.org/entity/P19,place of birth,"birth location, birth place, birthplace, location of birth, POB, birth city, born, born at, born in, location born",http://wikiba.se/ontology#WikibaseItem,"subject type constraint, conflicts-with constraint, item-requires-statement constraint, value-type constraint, property scope constraint, single-best-value constraint, value-requires-statement constraint, contemporary constraint, allowed-entity-types constraint, citation-needed constraint, allowed qualifiers constraint",,,,,,location,"most specific known birth location of a person, animal or fictional character"
http://www.wikidata.org/entity/P190,twinned administrative body,"twin town, partner city, partner town, sister city, sister town, twin cities, twin city",http://wikiba.se/ontology#WikibaseItem,"symmetric constraint, property scope constraint, allowed-entity-types constraint, allowed qualifiers constraint, value-type constraint, subject type constraint",,,,,,,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments"
http://www.wikidata.org/entity/P194,legislative body,"District, parliament, Zila, local government area, assembly, district council, diet, city council, LGA, council, Tehsil, Jila, municipal council, rural council, aboriginal council, indigenous council, representative body",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, property scope constraint, value-type constraint, single-value constraint, subject type constraint, distinct-values constraint",,,,,,,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council"
http://www.wikidata.org/entity/P20,place of death,"POD, died, deathplace, location of death, death location, death place, died in, killed in",http://wikiba.se/ontology#WikibaseItem,"item-requires-statement constraint, subject type constraint, property scope constraint, allowed qualifiers constraint, allowed-entity-types constraint, single-best-value constraint, contemporary constraint, value-type constraint, citation-needed constraint",,,,,,location,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character"
http://www.wikidata.org/entity/P205,basin country,basin countries,http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, value-type constraint, subject type constraint, property scope constraint",,,,,,,country that have drainage to/from or border the body of water
http://www.wikidata.org/entity/P206,located in or next to body of water,"on shore of, on the coast of, on the shore of, water next to the subject, lake, bay, body of water, sea, adjacent water body, along river, borders body of water, in body of water, loc (water), located in water, located next to body of water, located on body of water, located on water, next to lake, ocean, on bay, on coast of, on harbour, on lake, on river",http://wikiba.se/ontology#WikibaseItem,"subject type constraint, allowed-entity-types constraint, value-type constraint, property scope constraint",,,,,,location,body of water on or next to which a place is located
http://www.wikidata.org/entity/P22,father,"child of, dad, daddy, daughter of, has father, is child of, is daughter of, is son of, parent, son of",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, item-requires-statement constraint, property scope constraint, value-type constraint, conflicts-with constraint, inverse constraint, single-best-value constraint, allowed qualifiers constraint, subject type constraint, value-requires-statement constraint, contemporary constraint",,,,,,parent,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)"
http://www.wikidata.org/entity/P241,military branch,"formation, branch, service branch, unit branch",http://wikiba.se/ontology#WikibaseItem,"allowed qualifiers constraint, property scope constraint, none-of constraint, allowed-entity-types constraint, contemporary constraint, single-value constraint, value-type constraint, subject type constraint",,,,,,part of,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy"
http://www.wikidata.org/entity/P25,mother,"mom, mommy, mum, mummy, child of, daughter of, is child of, is daughter of, is son of, parent, son of, mam, has mother",http://wikiba.se/ontology#WikibaseItem,"subject type constraint, inverse constraint, value-type constraint, item-requires-statement constraint, contemporary constraint, allowed qualifiers constraint, allowed-entity-types constraint, single-best-value constraint, property scope constraint, conflicts-with constraint",,,,,,parent,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)"
http://www.wikidata.org/entity/P26,spouse,"husband, husbands, marital partner, marriage partner, married, marry, spouses, wed, wedded to, wife, wives, partner, married partner, married to, common-law spouse, common-law wife, common-law husband",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, none-of constraint, item-requires-statement constraint, contemporary constraint, symmetric constraint, property scope constraint, subject type constraint, citation-needed constraint, conflicts-with constraint, allowed qualifiers constraint",,,,,,"relative, significant person","the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions"
http://www.wikidata.org/entity/P27,country of citizenship,"(legal) nationality, citizen of, nation of citizenship, national of, subject of (country), nation, country, nationality, citizenship",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, allowed qualifiers constraint, conflicts-with constraint, contemporary constraint, subject type constraint, allowed-entity-types constraint, value-requires-statement constraint, value-type constraint, property scope constraint",,,,,,country,the object is a country that recognizes the subject as its citizen
http://www.wikidata.org/entity/P30,continent,,http://wikiba.se/ontology#WikibaseItem,"single-best-value constraint, allowed-entity-types constraint, value-type constraint, one-of constraint, subject type constraint, allowed qualifiers constraint, property scope constraint, conflicts-with constraint",,,,,,located in/on physical feature,continent of which the subject is a part
http://www.wikidata.org/entity/P31,instance of,"has type, is of type, item of type, example of, is an, unique individual of, unitary element of class, type, is a",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, allowed qualifiers constraint, one-of constraint, value-requires-statement constraint, property scope constraint, allowed-entity-types constraint, contemporary constraint",,,,http://www.wikidata.org/reference/6e76f7beb8a37a5ea361a76abcb4788b34bbe8c8,,,"type to which this subject corresponds/belongs. Different from P279 (subclass of); for example: K2 is an instance of mountain; volcanoes form a subclass of mountains, and the volcano is a type (instance) of volcanic landform"
http://www.wikidata.org/entity/P35,head of state,"state headed by, chief of state, leader, president, emperor, queen, monarch, king, governor",http://wikiba.se/ontology#WikibaseItem,"contemporary constraint, allowed qualifiers constraint, single-best-value constraint, required qualifier constraint, subject type constraint, property scope constraint, allowed-entity-types constraint, value-requires-statement constraint, value-type constraint",,,,,,"chairperson, director / manager",official with the highest formal authority in a country/state
http://www.wikidata.org/entity/P36,capital,"seat, chef-lieu, seat of government, administrative seat, county town, county seat, administrative capital, administrative center, administrative centre, administrative headquarters, capital city, capital town, court residence, government capital, government seat, has capital, location of capital, principal place",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, inverse constraint, allowed qualifiers constraint, value-type constraint, subject type constraint, contemporary constraint, property scope constraint, single-value constraint",,,,,,,"seat of government of a country, province, state or other type of administrative territorial entity"
http://www.wikidata.org/entity/P37,official language,"speaking, language official, language spoken, spoken in",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, allowed qualifiers constraint, property scope constraint, value-type constraint, subject type constraint",,,,,,language used,language designated as official by this item
http://www.wikidata.org/entity/P39,position held,"function, held position, holds position, job, office held, political office held, political seat, position occupied, public office",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, value-type constraint, required qualifier constraint, contemporary constraint, subject type constraint, property scope constraint, conflicts-with constraint, allowed-entity-types constraint, allowed qualifiers constraint",,,,,,,subject currently or formerly holds the object position or public office
http://www.wikidata.org/entity/P40,child,"son, descendants, has child, has children, has daughter, has daughters, has kid, has kids, has son, has sons, kid, kids, parent of, progeny, issue, children, daughter, daughters, offspring, sons, father of, mother of",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, contemporary constraint, subject type constraint, allowed-entity-types constraint, allowed qualifiers constraint, value-type constraint, conflicts-with constraint, value-requires-statement constraint, property scope constraint, item-requires-statement constraint",,,,,,"relative, significant person","subject has object as child. Do not use for stepchildren—use ""relative"" (P1038), qualified with ""type of kinship"" (P1039)"
http://www.wikidata.org/entity/P50,author,"maker, writer, poet, playwright, creator, written by, co-author",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, conflicts-with constraint, property scope constraint, value-type constraint, allowed qualifiers constraint, allowed-entity-types constraint, subject type constraint",,,,,,creator,"main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist"
http://www.wikidata.org/entity/P54,member of sports team,"club played for, member of team, of team, part of team, played for, plays for, team played for, teams played for, sport team, team, player of",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, value-type constraint, contemporary constraint, subject type constraint, conflicts-with constraint, allowed qualifiers constraint, property scope constraint",,,,,,member of,sports teams or clubs that the subject represents or represented
http://www.wikidata.org/entity/P57,director,"directed by, game director, film director, movie director",http://wikiba.se/ontology#WikibaseItem,"allowed qualifiers constraint, value-requires-statement constraint, property scope constraint, allowed-entity-types constraint, subject type constraint, value-type constraint, conflicts-with constraint",,,,,,"creator, contributor to the creative work or subject","director(s) of film, TV-series, stageplay, video game or similar"
http://www.wikidata.org/entity/P58,screenwriter,"scriptwriter, video game writer, game writer, written by, scenarist, film script by, screenplay by, story by, teleplay by, writer (of screenplays), writing credits",http://wikiba.se/ontology#WikibaseItem,"property scope constraint, conflicts-with constraint, subject type constraint, allowed-entity-types constraint, value-requires-statement constraint, allowed qualifiers constraint, value-type constraint",,,,,,"author, film crew member",person(s) who wrote the script for subject item
http://www.wikidata.org/entity/P6,head of government,"executive power headed by, government headed by, head of national government, president, chancellor, mayor, governor, prime minister, premier, first minister",http://wikiba.se/ontology#WikibaseItem,"allowed qualifiers constraint, single-best-value constraint, subject type constraint, value-requires-statement constraint, property scope constraint, allowed-entity-types constraint, required qualifier constraint, value-type constraint, contemporary constraint",,,,,,"chairperson, director / manager","head of the executive power of this town, city, municipality, state, country, or other governmental body"
http://www.wikidata.org/entity/P69,educated at,"went to school at, faculty, education, student of, alma mater, attended, student at, University attended, alumna of, alumni of, alumnus of, attended school at, college attended, education place, graduate of, graduated from, place of education, school attended, schooled at, schooling place, studied at",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, value-type constraint, allowed qualifiers constraint, subject type constraint, property scope constraint, allowed-entity-types constraint, contemporary constraint",,,,,,affiliation,educational institution attended by subject
http://www.wikidata.org/entity/P86,composer,"composed by, film score by, music by, musical score by, songwriter, written by",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, value-requires-statement constraint, allowed-entity-types constraint, property scope constraint, subject type constraint, value-type constraint",,,,,,creator,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]"
http://www.wikidata.org/entity/P1001,applies to jurisdiction,"applies to place, of, jurisdiction, applicable area, applicable country, applicable geographic place, applicable jurisdiction, applicable location, applicable place, applicable territorial jurisdiction, applied to jurisdiction, applies to area, applies to geographic area, applies to geographic place, applies to region, applies to territorial jurisdiction, belongs to jurisdiction, country of jurisdiction, of jurisdiction, valid in jurisdiction, jurisdiction linked, Of country, of location, of place, of region",http://wikiba.se/ontology#WikibaseItem,"subject type constraint, allowed-entity-types constraint, conflicts-with constraint, contemporary constraint, property scope constraint, value-type constraint",,,,,,"operating area, significant place, characteristic of","the item (institution, law, public office, public register, etc) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, etc)"
http://www.wikidata.org/entity/P1056,product or material produced,"output, product, commodity, manufactures, produces, producer of, service provided, provides service, product or service provided, product, material, or service produced or provided, creates, has product, maker of, makes, manufacturer of, material produced, produced material, produced product, products, results in, they make, work produced",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, allowed-entity-types constraint, property scope constraint, value-type constraint, subject type constraint",,,,,,immediate cause of,"material or product produced by an organization, industry, facility, or process"
http://www.wikidata.org/entity/P1198,unemployment rate,,http://wikiba.se/ontology#Quantity,"range constraint, property scope constraint, subject type constraint, citation-needed constraint, allowed-entity-types constraint, single-value constraint, allowed units constraint",,,,,,,portion of a workforce population that is not employed
http://www.wikidata.org/entity/P1336,territory claimed by,"claimed by, sovereignty claimed by, territorial claim by",http://wikiba.se/ontology#WikibaseItem,"item-requires-statement constraint, value-type constraint, subject type constraint",,,,,,,administrative divisions that claim control of a given area
http://www.wikidata.org/entity/P1344,participant in,"attended, competed in, competes in, participant of, participant of event, participated in, present at, takes part, took part, took part in",http://wikiba.se/ontology#WikibaseItem,"contemporary constraint, allowed qualifiers constraint, subject type constraint, value-type constraint, property scope constraint, conflicts-with constraint, allowed-entity-types constraint",,,,,,"part of, significant event",event in which a person or organization was/is a participant; inverse of P710 or P1923
http://www.wikidata.org/entity/P1365,replaces,"continues, continues from, deprecates, forefather, preceded by, previous job holder, replaced, succeeds, supersedes, absorbed, absorbs",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, inverse constraint, allowed-entity-types constraint, property scope constraint, conflicts-with constraint",,,,,,follows,"person, state or item replaced. Use ""structure replaces"" (P1398) for structures. Use ""follows"" (P155) if the previous item was not replaced or predecessor and successor are identical"
http://www.wikidata.org/entity/P1366,replaced by,"continued by, heir, mediatised to, next job holder, succeeded by, successor, superseded by, becomes",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, inverse constraint, allowed qualifiers constraint, conflicts-with constraint, allowed-entity-types constraint, property scope constraint",,,,,,followed by,"other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series)."
http://www.wikidata.org/entity/P1376,capital of,"state capital, capital, national capital, administrative seat of, county seat for, county seat of, is capital of, parish seat of, seat of, national capital of, provincial capital of, state capital of",http://wikiba.se/ontology#WikibaseItem,"contemporary constraint, inverse constraint, item-requires-statement constraint, allowed-entity-types constraint, value-type constraint, property scope constraint, conflicts-with constraint",,,,,,located in the administrative territorial entity,"country, state, department, canton or other administrative division of which the municipality is the governmental seat"
http://www.wikidata.org/entity/P1412,"languages spoken, written or signed","used language, language used, uses language, language spoken, language written, language of expression, language read, language signed, language(s) spoken, written or signed, languages of expression, languages signed, languages spoken, languages spoken, written, or signed, signed language, signs language, speaks language, spoke language, writes language, wrote language, language",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, one-of constraint, allowed qualifiers constraint, subject type constraint, value-type constraint, property scope constraint, none-of constraint, allowed-entity-types constraint",,,,,,,"language(s) that a person or a people speaks, writes or signs, including the native language(s)"
http://www.wikidata.org/entity/P1441,present in work,"character in, from narrative, appeared in, appears in, appears in work, featured in work, from work, in narrative, in work, is shown in",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, conflicts-with constraint, subject type constraint, value-type constraint, property scope constraint, allowed-entity-types constraint",,,,,,,"this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration (use P2860 for works citing other works, P361/P1433 for works being part of other works, P1343 for entities described in non-fictional accounts)"
http://www.wikidata.org/entity/P264,record label,"label, labels",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, none-of constraint, allowed-entity-types constraint, contemporary constraint, item-requires-statement constraint, property scope constraint, subject type constraint, value-type constraint",,,,,,,brand and trademark associated with the marketing of subject music recordings and music videos
http://www.wikidata.org/entity/P272,production company,"film studio, theatre company, ballet company, theatrical troupe, theater company, studio, motion picture studio, movie studio, broadcasting company, produced by (company), producer (company), production house",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, allowed-entity-types constraint, subject type constraint, value-type constraint, property scope constraint",,,,,,,"company that produced this film, audio or performing arts work"
http://www.wikidata.org/entity/P276,location,"place held, whereabouts, held by, vilage, town, city, neighborhood, locality, region, venue, place, based in, in, from, suburb, neighbourhood, locale, is in, located, located in, location of item, moveable object location",http://wikiba.se/ontology#WikibaseItem,"allowed qualifiers constraint, none-of constraint, conflicts-with constraint, property scope constraint, allowed-entity-types constraint, value-type constraint",,,,,,,"location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object"
http://www.wikidata.org/entity/P279,subclass of,"all members of this class also belong to, category of, form of, has superclass, is a class of, is a type of, is necessarily also a, is thereby also a, rdfs:subClassOf, subcategory of, subtype of, type of, way of, whose instances are a subset of those of, whose instances are among, kind of, sort of, sc (abbreviation), variant of, subgenre of",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, conflicts-with constraint, allowed-entity-types constraint, contemporary constraint, value-requires-statement constraint, property scope constraint",,,,,,,"this item is a subclass (subset) of that item; ALL instances of this item are instances of that item; different from P31 (instance of), e.g.: volcano is a subclass of mountain (and an instance of volcanic landform); Everest is an instance of mountain"
http://www.wikidata.org/entity/P3373,sibling,"sister, brother of, sister of, has brother, has sibling, has sister, is brother of, is sibling of, is sister of, is the brother of, is the sibling of, is the sister of, sibling of, sis, sister or brother, sisters and brothers, twin, brothers, siblings, sisters, brother or sister, brothers and sisters, brother, sib, half-brother, half-sibling, half-sister, bro",http://wikiba.se/ontology#WikibaseItem,"symmetric constraint, subject type constraint, allowed qualifiers constraint, allowed-entity-types constraint, property scope constraint, value-type constraint, item-requires-statement constraint",,,,,,relative,"the subject and the object have at least one common parent (brother, sister, etc. including half-siblings); use ""relative"" (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)"
http://www.wikidata.org/entity/P355,has subsidiary,"subordinate unit, subsidiary, subsidiary body, subsidiary company, subsidiary entities, subsidiary organization, imprint, daughter company, daughter organization, has imprint, owns, parent company of, subordinate body",http://wikiba.se/ontology#WikibaseItem,"value-type constraint, subject type constraint, property scope constraint, contemporary constraint, allowed-entity-types constraint, inverse constraint",,,,,,"has part(s), owner of","subsidiary of a company or organization; generally a fully owned separate corporation. Compare with ""business division"" (P199). Opposite of parent organization (P749)."
http://www.wikidata.org/entity/P361,part of,"in, chain, of, assembly of, branch of, collateral branch of, component of, element of, is part of, meronym of, part of-property, section of, subassembly of, subgroup of, subsystem of, system of, contained in, contained within, within",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, allowed-entity-types constraint, none-of constraint, property scope constraint",,,,,,,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))"
