precision,recall,f1-score,metric_type,docred_type,split,model_name,prediction_level
0.8128749404409901,0.24554501272853507,0.3771610446299305,re_ignore_train_annotated (used officially),redocred,dev,xlm-roberta-large-finetuned-conll03-english,sentence
0.7368591799582764,0.24554501272853507,0.36834553042196494,re_ignore_train,redocred,dev,xlm-roberta-large-finetuned-conll03-english,sentence
0.8837661190602367,0.28945845869011805,0.43608629331008936,re,redocred,dev,wikineural-multilingual-ner-fine-tuned,sentence
0.5609118974115412,0.37719578409453847,0.45106464241382604,evi,redocred,dev,wikineural-multilingual-ner-fine-tuned,sentence
0.8658238155264605,0.28945845869011805,0.4338680385439777,re_ignore_train_annotated (used officially),redocred,dev,wikineural-multilingual-ner-fine-tuned,sentence
0.8138613838363186,0.28945845869011805,0.4270367533918844,re_ignore_train,redocred,dev,wikineural-multilingual-ner-fine-tuned,sentence
0.7708074534161491,0.21540152742420737,0.33670977661210094,re,redocred,dev,v2\deepseek-reasoner-repaired,None
0.4941532535424405,0.2868093260938997,0.3629566008184712,evi,redocred,dev,v2\deepseek-reasoner-repaired,None
0.7412342198662127,0.21540152742420737,0.33380099706811756,re_ignore_train_annotated (used officially),redocred,dev,v2\deepseek-reasoner-repaired,None
0.6627056652568383,0.21540152742420737,0.32512616618743184,re_ignore_train,redocred,dev,v2\deepseek-reasoner-repaired,None
0.8720887245841035,0.2729692200879426,0.41579272054287475,re,redocred,dev,v2_verifier\deepseek-reasoner-repaired,None
0.5602087734559463,0.35994889811561803,0.43828690875504356,evi,redocred,dev,v2_verifier\deepseek-reasoner-repaired,None
0.8536379000557575,0.2729692200879426,0.4136612802269662,re_ignore_train_annotated (used officially),redocred,dev,v2_verifier\deepseek-reasoner-repaired,None
0.7983095284222981,0.2729692200879426,0.4068295570415208,re_ignore_train,redocred,dev,v2_verifier\deepseek-reasoner-repaired,None
0.675577156743621,0.12867391807451978,0.2161741835147745,re,redocred,dev,v4\deepseek-chat-repaired,None
0.4442367601246106,0.1707920792079208,0.24672703154737877,evi,redocred,dev,v4\deepseek-chat-repaired,None
0.6408876911873312,0.12867391807451978,0.2143182021512382,re_ignore_train_annotated (used officially),redocred,dev,v4\deepseek-chat-repaired,None
0.5533249663181724,0.12867391807451978,0.2087935714088797,re_ignore_train,redocred,dev,v4\deepseek-chat-repaired,None
0.8760877131917856,0.2912520249942143,0.43716891011723835,re,redocred,dev,v4_verifier\deepseek-chat-repaired,None
0.5532738793710397,0.3764771638454168,0.44806614083436286,evi,redocred,dev,v4_verifier\deepseek-chat-repaired,None
0.8574289129807191,0.2912520249942143,0.43480813329153023,re_ignore_train_annotated (used officially),redocred,dev,v4_verifier\deepseek-chat-repaired,None
0.8024965303675546,0.2912520249942143,0.42739025962520794,re_ignore_train,redocred,dev,v4_verifier\deepseek-chat-repaired,None
0.9486685353889278,0.31329553344133304,0.4710334029227557,re,redocred,dev,entities_separately,None
0.5990366541353384,0.40713829447460875,0.4847879825061798,evi,redocred,dev,entities_separately,None
0.9399959022322427,0.31329553344133304,0.4699569617089768,re_ignore_train_annotated (used officially),redocred,dev,entities_separately,None
0.9141014338490137,0.31329553344133304,0.4666524424766134,re_ignore_train,redocred,dev,entities_separately,None
0.46358732299393124,0.31522237505731315,0.37527292576419213,re,redocred,test,original_NER,original_NER
0.5866969869243889,0.40652328054833375,0.4802680565897245,evi,redocred,test,original_NER,original_NER
0.42635658876297405,0.31522237505731315,0.36246210609547,re_ignore_train_annotated (used officially),redocred,test,original_NER,original_NER
0.34317266968399973,0.31522237505731315,0.3286042471205173,re_ignore_train,redocred,test,original_NER,original_NER
0.8285884929325105,0.23853736817973406,0.3704330025366027,re,redocred,test,xlm-roberta-large-finetuned-conll03-english,sentence
0.5149583766909469,0.31190419916489404,0.3884990922918404,evi,redocred,test,xlm-roberta-large-finetuned-conll03-english,sentence
0.8020689636734047,0.23853736817973406,0.3677152710623756,re_ignore_train_annotated (used officially),redocred,test,xlm-roberta-large-finetuned-conll03-english,sentence
0.7249201254794884,0.23853736817973406,0.3589583142181926,re_ignore_train,redocred,test,xlm-roberta-large-finetuned-conll03-english,sentence
0.8753481894150418,0.28817056396148555,0.433597792342187,re,redocred,test,wikineural-multilingual-ner-fine-tuned,sentence
0.5604923798358734,0.3766643031592216,0.45054893276162655,evi,redocred,test,wikineural-multilingual-ner-fine-tuned,sentence
0.856971632327264,0.28817056396148555,0.43130713266367604,re_ignore_train_annotated (used officially),redocred,test,wikineural-multilingual-ner-fine-tuned,sentence
0.8039430427055229,0.28817056396148555,0.4242648724364836,re_ignore_train,redocred,test,wikineural-multilingual-ner-fine-tuned,sentence
0.7682020802377415,0.20741632278771205,0.32663928877656934,re,redocred,test,v2\deepseek-reasoner-repaired,None
0.48853766196782,0.2703064681320413,0.34804219922905255,evi,redocred,test,v2\deepseek-reasoner-repaired,None
0.743722129209758,0.20741632278771205,0.32436940992676,re_ignore_train_annotated (used officially),redocred,test,v2\deepseek-reasoner-repaired,None
0.6677821701619039,0.20741632278771205,0.316520019798878,re_ignore_train,redocred,test,v2\deepseek-reasoner-repaired,None
0.8606303516123155,0.2707473635946813,0.41191088634084666,re,redocred,test,v2_verifier\deepseek-reasoner-repaired,None
0.5576377758599433,0.35633813913180495,0.43482022687944627,evi,redocred,test,v2_verifier\deepseek-reasoner-repaired,None
0.8415821063541477,0.2707473635946813,0.40969180930597177,re_ignore_train_annotated (used officially),redocred,test,v2_verifier\deepseek-reasoner-repaired,None
0.7849311195250741,0.2707473635946813,0.4026188552916212,re_ignore_train,redocred,test,v2_verifier\deepseek-reasoner-repaired,None
0.6567256912084498,0.12116001834021091,0.20457734552668505,re,redocred,test,v4\deepseek-chat-repaired,None
0.4423564189189189,0.16505160324588355,0.24040392449365997,evi,redocred,test,v4\deepseek-chat-repaired,None
0.6192281164051409,0.12116001834021091,0.20266583544379832,re_ignore_train_annotated (used officially),redocred,test,v4\deepseek-chat-repaired,None
0.536881808311476,0.12116001834021091,0.19770357173959824,re_ignore_train,redocred,test,v4\deepseek-chat-repaired,None
0.8651999301554042,0.2839867033470885,0.4276159654800431,re,redocred,test,v4_verifier\deepseek-chat-repaired,None
0.5515343171702974,0.3709918852911053,0.4435966275728887,evi,redocred,test,v4_verifier\deepseek-chat-repaired,None
0.8457850562409408,0.2839867033470885,0.4252039543804536,re_ignore_train_annotated (used officially),redocred,test,v4_verifier\deepseek-chat-repaired,None
0.7907291927602895,0.2839867033470885,0.4178901186920994,re_ignore_train,redocred,test,v4_verifier\deepseek-chat-repaired,None
0.947331583552056,0.3102934433745988,0.46746967145879204,re,redocred,test,entities_separately,None
0.598945518453427,0.4027416686362562,0.48162803843979646,evi,redocred,test,entities_separately,None
0.9390688240099822,0.3102934433745988,0.466457018231842,re_ignore_train_annotated (used officially),redocred,test,entities_separately,None
0.914318243910281,0.3102934433745988,0.463341905338421,re_ignore_train,redocred,test,entities_separately,None
